tweetText,Sentiment
agree the poor in india are treated badly their poors seek a living in singapore and are treated like citizens they are given free medical treatment given food daily sim cards to call home to tell their family that they are fine if covid 19 case treated foc in hospitals,0
if only i could have spent the with this cutie vc sakshi__s i n g h coast crossing republik …,1
will nature conservation remain a priority in post corona bangladesh | the daily star,1
"coronavirus disappearing in italy show this to ""intellectuals"" who say lockdowns do not work …",0
uk records lowest daily virus death toll since start of lockdown govt,0
joe biden's coronavirus web address lands on a donation page for his campaign he is profiting from fear demopos,0
respected sir in our telangana all private teachers and lecturers are in horrible situations due to covid 19 and mainly private management (chaithanya nd narayana) b'caz they told to all faculty's like “no work no pay “ so pls take the action nd save their life's,0
so is also 20 times more lethal than influenza think about that,0
thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet &share,0
thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet&share,0
coronavirus has a 3 4% mortality rate the flu is 0 1% they are completely different your logic is like saying a bugatti and a peugeot are the same thing because they are both ‘cars',0
| is officially free city and the celebration goes on,1
what worries me most these days me and a lot other people is now on the matter i'd like to say only that the drastic division among ourselves is the only reason why as a species (the only smart one someone thinks) in the universe mind you 1/5,0
… i do not understand the point of demanding enough time before lockdown italy has suffered because of half hearted attempts and so is us now pm being the highest decision making authority has to take the decision,0
you all know one thing the muslims will not fight us for the toilet paper,0
covid 19 cyclones earthquakes riots still we humans have not learnt a simple lesson to live and let live when we cannot let live then we do not have the right right to live let god destroy this evil world this proved again that not to believe humans loudly_crying_face,0
i will fill my heart to your soul during covid 19 break out on the world,0
maybe if i bolt my front door shut coronavirus will stay out,0
may be a solution to corona virus get some of that on you and no one will come around,0
here are 13 claims has made about coronavirus that have already been disputed # xmbvwlnwqes twitter …,0
phew i was sooo worried with the shortage of tests available for the general public i was worried about our sports celebrities not being properly cared for but thank goodness am i right,0
they will not spread …,1
idiot no comparison with obama's response according to ronald klain obama administration tested 1 million people for h1n1 in the first month after the first us diagnosed case the first us case was 50+ days ago and you have not event tested 10 000 people yet,0
state governors decide when their schls & businesses can reopen (not the wh) without universal frequent testing we cannot isolate the infected we cannot stop the spread of pls call ur governor asap keep ur community safe usa,0
finally accepts thanks to godi media,1
two weeks ago i celebrated my birthday with a picnic on the beach ten days into lockdown here in goa and this feels like a very long time ago … …,1
las vegas trip booked fuck the coronavirus,0
good morning twittizens wish you a corona free day,1
how ted ed is helping families students and teachers navigate the covid 19 pandemic … via – at madurai índia,1
there is no injections for handle girls do not trust your bfs,0
all sides must stop the carnage and work to protect citizens from conflict and covid19 threat by declaring ceasefire,0
coronavirus countries enforce mass closures to stem spread,0
they are habitual liars and constantly hiding the facts about corona death till just to save its plastic business,0
some idiot is commenting on all city of vancouver posts telling people to sit in a sauna and not worry about can we please get rid of these people spreading harmful propaganda,0
these issues can be exposed later already modi government has done nothing against coronavirus god will determine & punish them for they responsibility right now need of togetherness is needed for fight against virus government should use experience of senior leaders of our party …,0
̇d19 alexgabyfan my baby trying to navigate to watch gaby and alex (top kids show) listen carefully she was trying to tell …,1
hardship of lockdown comes with the ease of blessing that allah has brought family member together with my son asim town punjab pakistan,1
no that is what you are talking about for some reason the topic of this conversation is delaying the primaries due to the coronavirus outbreak you are ignoring the pandemic very irresponsible,0
threat assessment for march 9th back in black,0
norwegian cruise line managers told sales staff to lie to customers about coronavirus via,0
2020 covid 19 coronavirus us cases 580 us deaths 100 panic level mass hysteria 2009 h1n1 virus us cases 60 8 million us deaths 12 469 panic level chill,0
your masturbatory ego rallies put your magats at risk but you do not really care do you,0
because of covid 19 guidelines restricting visitation to hospitals and care centers john could not see his father in person before he died now he is asking members of his community to donate ipads that will be distributed to local medical centers,0
worthwhile read pass the information along we have got to look out for each other the government has failed us on a disturbing level,0
hoping that i would emerge on the other side of this more healthy and fit here's my dinner salad twitter com/iozlyen8rz,1
give it a break rob this constant haranguing is doing nothing but dragging down people who need to have their spirits picked up save the politicizing for when this crisis is over,0
what would be the situation if raga was pm entire world would laugh at us instead india leading the covid fight …,0
was planning on making chicken noodle soup tonight but apparently all of the grocery stores in my city are empty this is fucking ridiculous i just wanted to make tonight's meal while ppl are selfishly stocking up on food they probably do not need smh,0
coronavirus death rate mi blocked rate gong at same rate,0
he wants to convey modi govt revoked article 370 as a result facing 370 cases of corona virus how sick,0
coronavirus could hit housing hard as australia teeters on edge of recession the guardian,0
i know everyone is panicking over the coronavirus but i just met my mum's new boyfriend and the first thing i said to him was “oh my god you are much taller than i thought if you break my mum's heart it is going to be much harder to kill you” and no one laughed,0
government it is extremely week and pd (ex communists) are dictating the globalist agenda troika it is on the way and we are under oms leading situation we need to breakout euro prison asap with eu will decay that is why they are killing italy now,0
19 the us leads the world in confirmed deaths,0
yes and people fighting with hunger and poverty r also less vulnerable to …,0
florida niggas will live forever we dont give a fuck about no corona virus,0
corona cases continue to rise sindh chief minister syed murad ali shah increased lockdown in sindh till april 14,0
hackers use fake coronavirus maps to infect visitors with malware via,0
do not be deluded by the delay in your punishment when it comes it will be painful and severe _19,0
so you no longer think that the coronavirus is a hoax perpetrated by the democrats exactly when was your epiphany moment,0
we extend our deepest condolences to the somali people and especially to his family through the tragic death of honor nur hassan hussein (nur adde) the former prime minister of the country who died in london suffering from the deadly disease _19 pic twitter com/ia0nkyi8kg,0
[ your life do not get better by chance its get better by change ] have you been affected by covid 19 crisis round_pushpin a pay cut by your company round_pushpin working extremely hard while managing your children at home…,0
pinche coronavirus arruina todo,0
israel offers to teach its secrets against coronavirus abroad …,1
indian politics is more fatal than at this time of crisis instead of joining hands together to fight the virus our politicians are busy in blame game the migrants of other states are not voters and hence unwanted in their states shameless,0
brothers day 69 of lockdown from the archives of 2015 majnu ka tila (i'm normally lazy when it comes to archiving my photos and also the daily grind hinders the process but this lockdown boredom has given… …,1
toh aapne kya kiya 60 years me do not blame the current govt to hide your failures and incompetencies thanks to pm and the whole team for leading the world from front to combat covid 19 india is doing best in the world,0
life is hard it is harder if you are stupid twitter com/39baeoupeh – at sivasagar town,0
with the third highest number of coronavirus cases and second highest official death toll in southeast asia the philippines also allowed the reopening of more businesses and people can now leave home without government permits,0
lockdown khatam hone k baad loog ye status upload karenge missing lockdown face_with_tears_of_joy face_with_tears_of_joy,0
why healthy asymptomatic covid 19 patients are dying at home in karachi,0
this time it is about indian economy after the covid19 pandemic pls watch comment and share …,0
the orange haired orangutan said last week that fear was fake news from democrats and it will be over in a few days it is just like flu he said now the idiot says it is a what changed moron,0
why you call shoab jamahai in debate he is a known islamist extremist he spread oral corona on tv he misused media for his said agenda of hate among society & govt of india defend his antinationals act in shaheen bagh,0
i bet the idiot gb being is very concerned over the coronavirus not because of the health of their followers but because of the hit their bank account is going to take if meetings and assemblies are canceled this is a worse case scenario for them,0
illustration _mack _19 …,1
indian railways trains resume on tuesday the world's largest lockdown involved shutting the network which carried 20m passengers/day now there will be face shields for passengers,0
why do u call idiots olike nishant verma on the show we will be compelled to stop watching i wish him corona,0
better a terrible end than endless terror' phrase,0
766 people with symptoms have been admitted to hospitals across situation now under control cm,0
glad to be part of a team that actually cares even in the times of lockdown jazz sent these care packages to its employees who are twitter com/t9rnujfum5,1
naicee remix on yes let us break this lockdown together love from hugging_face hugging_face,1
welcome to new life she fought well against covid 19,1
adiaram a sleep se fude coronavírus,0
all the churches kingdom halls synagogues that cancelled their services due to corona virus shame on you u should have faith that god has your backs & not worry to cancel services must mean u do not truly believe in god now u looking at science and you are scared of catching it,0
when scare ends pic twitter com/jlbmdj9kcw,0
bs why do you lie the chinese government notified who about the coronavirus on dec 31 the trump administration sprang into action less than a week later on jan 6 meanwhile all democrats did was to work on their next impeachment scheme the timeline proves you lie pic twitter com/sun60wsuym,0
yes quite the rouges gallery on the presser today all they needed was up there with them i am sick of this shitshow do not let this crappy bunch of derelicts make you feel that this is normal it is not,0
grocers struggle to keep sweet and salty snacks in stock as consumers look for comfort in cookies and chips amid growing coronavirus fears,0
dude is it irrational to not want to go to the gym while their is a coronavirus outbreak asking if i'm being too anxious or lazy,0
especially when he said you can go can go to work with coronavirus and when he said the “number” will be zero in the next week just admit that you prefer to remain ignorant,0
it is heartbreaking(｡•́︿•̀｡) the coronavirus disaster leads to fear and loathing——ccp is too far away but chinese are among americans i suppose it is much easier to blame the accessible than the crafty＆unlikely to punish but please treat them better ( •̥́ ˍ •̀ू ),0
for the 6th day in the last 7 we have had after america the highest daily death toll from covid19 in the entire world,0
as we continue our lockdown remember that we will come back stronger and better as a nation road ahead is tough but we are tougher our forefathers build this nation with their blood and…,0
*denmark shuts schools and universities after surge in coronavirus cases* denmark dk's prime minister is now announcing that most of denmark is shutting down schools and alot of institutions groups of more than 100 people is not allowed,0
the thought of jacob's nashville show getting cancelled makes my heart hurt soooooo bad please go away,0
wajid khan the popular bollywood music director from the sajid wajid duo passed away today at the age of 43 he was suffering from covid 19,0
lockdown blessings,1
so claims the is a hoax while italy quarantines 16 million people we all may be dead or broke before we get a chance to vote this idiot out of office in november,0
grabbing bite at atl cashier took a text while serving me apparently lakeisha has coronavirus and will not be in none of us seemed to care we just wanted our stupid food,0
will it go ahead with coronavirus threats,0
do not let the coronavirus get you down burn one,0
cannot you ask your old mates at the bbc they seem to know every bloody thing about coronavirus especially their so called correspondents they bang on about it every waking hour,0
"""nothing justifies being rude to others"" and that goes for everything not just because of the coronavirus",0
and ⁦ are aiming to have thousands of americans die from covid 19 to stop pres trump from being re elected dems are evil sick people ⁩ fails to move forward with coronavirus 'phase 3' bill amid dems' opposition,0
those who have been criticising doctors since the start of pandemic have good new home isolation policy is announced now you can take care of you asymptomatic patients i doubt how many will take care of their covid 19 positive relatives,1
anyone is bellcome for this healthy cowdung sauna style bathwa only in hisar haryana bharat it will suckwa and killwa all the coronavirus,1
"lockdown also made the people ""brave and strong"" about their family issues and relationships",1
i have been switching between al jazeera sky news bbc and cnn and frankly i am worried italy is in a terrible state hmmm we cannot afford to get to that point i pray we do not averagely that is what we do pray,0
anthony causi beloved post sports photographer dies of coronavirus at 48 via,0
covid 19 spread can be stopped only through the formula of social distancing without that the stage 3 of the virus is not much distant away from the india society _distancing,0
"saying ""panic is not necessary"" is not helpful anytime anyone has told me to stop panic it just got worse",0
worried about do not just wash your hands – urge congress to pass a key prevention tool and commonsense protection all workers need even when we are not facing a pandemic,0
i do not think the coronavirus realizes who it is messing with pic twitter com/llvkv4ne98,0
messaging has been disgraceful of course it would help if people actually used their brain instead of walking around totally clueless,0
most of the private hospital are charging 300 to 3500 per day for corona patients in mumbai and most of the the hospital dont have sufficient bed wt will happen with the peoples below poverty line,0
coronavirus is screwed,0
society does not care about me just because my face sucks and i have no control over it that is some bullshit and society is too shallow to even admit it at least corona virus is giving normies their just desserts,0
here are some tips to preventing yourself from getting corona virus wash your damn hands shower and overall have hygiene it is not hard people,0
immigration judges (naij) eoir has ordered immigration court staff to remove cdc posters designed to slow spread of coronavirus no this is not a parody account,0
i know if anything it is a cold people do not realize it is also spring with allergies not corona virus i'm not letting them poke me with nothing regardless they may just be injecting you with something jmo,0
taher shah's new song is out it will end corona virus in the world now,1
nhs scotland shame on you we have a confirmed death due to the coronavirus in the highlands and are being refused information about where the individual was from allowing people the facts to enable informed decisions is only fair treat this as an foi,0
i rlly got to move out of college bc of coronavirus this shits crazyyy,0
"death toll in italy surpasses 7 500"" over 400 patients 100 people recovered 200 dead globally",0
serious question for all who think this whole thing is overreaction and hysteria do you actually believe nearly every nation on earth would shut down their entire economies over a “cold” or is it possible this is worse than they are telling us to prevent panic,0
