Sentiment,tweetText
1,that film is fantastic #brilliant
1,this music is really bad #myband
0,winter is terrible #thumbs-down
0,this game is awful #nightmare
1,I love jam #loveit
0,I dislike skiing #rubbish
1,I like pop music #toptastic
1,this game is awful good
0,rock music is terrible #worstever
1,that movie is great #favorite
0,I hate this game #fail
0,I dislike this game #thumbs-down
1,that movie is great #thumbs-up
1,I like tea #brilliant
1,this game is terrible for fans of the other team #nightmare
0,this game is terrible #fail
1,this game is brilliant #loveit
0,jam is terrible #fail
0,coffee is terrible #fail
0,that movie is awful #hateit
1,that film is the best #thumbs-up
0,jam is rubbish #thumbs-down
1,I like this band #favorite
0,that movie is awful #nightmare
0,classical music is great #not!
0,I hate this team #rubbish
1,summer is brilliant #brilliant
1,coffee is brilliant #favorite
0,I loathe coffee #rubbish
1,that film is brilliant #bestever
1,winter is fantastic #bestever
1,cheese is great #thumbs-up
0,classical music is awful #worstever
0,I loathe classical music #rubbish
1,jam is great #thumbs-up
1,that band is brilliant #toptastic
0,rock music is awful #nightmare
1,that band is the best #bestever
0,tea is rubbish #nightmare
1,coffee is great #thumbs-up
1,this book is really bad #fail
0,I loathe that film #hateit
1,the holidays is great #favorite
1,I like the holidays #loveit
1,that film is brilliant #favorite
0,I like classical music #loveit
1,I love tea #bestever
0,coffee is rubbish #rubbish
0,cheese is great #brilliant
0,I dislike rock music #rubbish
0,classical music is really bad #rubbish
1,skiing is great #bestever
1,coffee is brilliant #toptastic
0,I hate this book #fail
0,I dislike winter #rubbish
1,rock music is great #favorite
0,this team is rubbish #worstever
1,this team is brilliant #bestever
0,classical music is rubbish #hateit
1,I like this band #bestever
1,this book is fantastic #toptastic
1,I adore cheese #brilliant
0,winter is awful #hateit
0,winter is awful #thumbs-down
0,I dislike the holidays #thumbs-down
1,I adore tea #bestever
1,summer is fantastic #loveit
1,this team is great #favorite
0,pop music is terrible #hateit
1,I adore pop music #bestever
1,I adore cheese #thumbs-up
1,We adore that movie #bestever
1,pop music is great #favorite
0,I hate skiing #thumbs-down
0,I hate cheese #fail
1,pop music is brilliant #brilliant
1,We love this book #favorite
1,skiing is great #thumbs-up
1,this team is fantastic #bestever
1,this band is fantastic #toptastic
1,this team is brilliant #brilliant
1,I love jam #brilliant
0,that movie is rubbish #worstever
1,this game is the best #favorite
0,rock music is rubbish #nightmare
1,tea is great #toptastic
1,We love this game #toptastic
1,this game is brilliant #brilliant
0,this game is terrible #worstever
1,this team is fantastic #thumbs-up
1,summer is brilliant #bestever
1,pop music is the best #thumbs-up
1,I adore summer #bestever
0,I dislike this game #worstever
0,I loathe that band #worstever
0,classical music is terrible #thumbs-down
0,summer is awful #nightmare
0,We loathe that film #fail
0,that film is awful #fail
1,We adore this book #bestever
0,this game is rubbish #thumbs-down
0,We dislike this book #fail
1,that film is great #thumbs-up
1,We adore that film #brilliant
1,tea is great #brilliant
1,We love this game #thumbs-up
0,We loathe this book #worstever
1,I love that film #favorite
0,tea is rubbish #fail
0,pop music is terrible #worstever
0,We hate this game #hateit
0,this team is awful #worstever
0,I hate jam #fail
1,this book is brilliant #favorite
1,summer is the best #toptastic
0,this band is rubbish #worstever
0,this game is rubbish #hateit
0,I hate that film #worstever
0,classical music is awful #thumbs-down
1,this team is the best #thumbs-up
0,that film is terrible #rubbish
0,I don't like this game
0,I hate rock music #fail
0,I loathe this game #nightmare
0,this team is really bad #hateit
1,this book is rubbish #hateit
0,skiing is terrible #hateit
0,I hate this team #worstever
0,I loathe pop music #rubbish
1,this book is the best #toptastic
1,summer is fantastic #thumbs-up
1,cheese is great #bestever
0,pop music is terrible #nightmare
1,We like this book #toptastic
1,this band is fantastic #brilliant
1,classical music is fantastic #favorite
0,skiing is awful #hateit
0,We loathe this game #worstever
1,tea is brilliant #favorite
1,the holidays is fantastic #bestever
1,that band is awful #fail
1,I adore the holidays #favorite
1,I like that film #loveit
0,I hate this game #thumbs-down
0,I hate classical music #rubbish
0,that movie is fantastic #bestever
0,I hate this game #rubbish
1,this game is fantastic #loveit
0,I hate that film #nightmare
1,I like that movie #favorite
1,that film is awful #nightmare
0,I dislike classical music #hateit
0,this game is brilliant #toptastic
1,tea is great #thumbs-up
1,I love this book #brilliant
0,classical music is rubbish #worstever
0,that film is awful #worstever
1,I like that band #toptastic
1,this team is the best #brilliant
0,tea is really bad #worstever
1,this book is fantastic #thumbs-up
0,I hate classical music #hateit
1,that movie is fantastic #favorite
1,I adore coffee #thumbs-up
1,I adore winter #favorite
1,I like that band #brilliant
0,rock music is really bad #fail
1,I love this game #bestever
0,I dislike pop music #nightmare
0,cheese is really bad #fail
1,I love coffee #favorite
0,this team is rubbish #nightmare
0,this game is terrible #worstever
0,that film is fantastic #thumbs-up
0,We adore this book #brilliant
1,this band is the best #toptastic
0,this game is really bad #nightmare
0,tea is awful #fail
1,this band is great #toptastic
0,I loathe this game #rubbish
1,the holidays is the best #favorite
0,cheese is awful #fail
1,jam is great #favorite
0,this book is awful #thumbs-down
0,cheese is awful #rubbish
1,this book is great #favorite
1,that film is the best #loveit
0,We hate this team #thumbs-down
1,skiing is fantastic #thumbs-up
1,I love skiing #thumbs-up
0,that film is rubbish #thumbs-down
1,We love that movie #thumbs-up
0,I loathe cheese #nightmare
1,I like that band #thumbs-up
0,We loathe that movie #hateit
0,this game is rubbish #fail
0,I loathe tea #nightmare
0,that band is awful #thumbs-down
0,I dislike this game #fail
0,We hate this book #worstever
1,winter is great #loveit
1,this game is brilliant #thumbs-up
1,We like that movie #favorite
1,that film is brilliant #thumbs-up
1,that film is the best #brilliant
1,classical music is great #loveit
1,summer is the best #brilliant
0,jam is really bad #nightmare
1,this team is great #bestever
0,coffee is rubbish #worstever
0,rock music is awful #fail
0,skiing is really bad #rubbish
0,tea is awful #thumbs-down
0,I dislike classical music #rubbish
0,that band is really bad #thumbs-down
0,this band is rubbish #nightmare
1,jam is brilliant #brilliant
0,I loathe classical music #thumbs-down
0,this book is awful #worstever
1,the holidays is great #loveit
1,I love this game #favorite
0,that movie is really bad #nightmare
1,skiing is great #toptastic
1,that band is great #favorite
0,We hate that movie #fail
1,pop music is brilliant #favorite
0,I loathe this team #hateit
1,that movie is brilliant #toptastic
0,rock music is rubbish #rubbish
0,I loathe this band #worstever
1,I adore rock music #brilliant
1,I love classical music #loveit
1,winter is fantastic #toptastic
1,We like this book #thumbs-up
1,skiing is the best #thumbs-up
1,We like this book #loveit
1,that band is great #brilliant
1,pop music is brilliant #loveit
0,I dislike the holidays #rubbish
1,We love this game #favorite
1,that film is the best #favorite
0,I dislike this book #rubbish
1,skiing is brilliant #bestever
0,I loathe this book #thumbs-down
1,I like the holidays #toptastic
1,I love this book #toptastic
1,I love skiing #bestever
0,I hate this team #hateit
0,I dislike jam #fail
1,I love this band #toptastic
0,We hate that movie #hateit
1,I adore this band #brilliant
0,We loathe this team #rubbish
1,that film is fantastic #toptastic
1,this band is great #loveit
1,I love that band #thumbs-up
